Date,Open,High,Low,Close,Volume,Adj Close
2017-03-31,65.650002,66.190002,65.449997,65.860001,21001100,65.860001
2017-03-30,65.419998,65.980003,65.360001,65.709999,15100400,65.709999
2017-03-29,65.120003,65.50,64.949997,65.470001,13512400,65.470001
2017-03-28,64.959999,65.470001,64.650002,65.290001,20039300,65.290001
2017-03-27,64.629997,65.220001,64.349998,65.099998,18550200,65.099998
2017-03-24,65.360001,65.449997,64.760002,64.980003,22373200,64.980003
2017-03-23,64.940002,65.239998,64.769997,64.870003,18819600,64.870003
2017-03-22,64.120003,65.139999,64.120003,65.029999,20632800,65.029999
2017-03-21,65.190002,65.50,64.129997,64.209999,26191800,64.209999
2017-03-20,64.910004,65.18,64.720001,64.93,12744200,64.93
2017-03-17,64.910004,65.239998,64.68,64.870003,48994700,64.870003
2017-03-16,64.75,64.760002,64.300003,64.639999,20532600,64.639999
2017-03-15,64.550003,64.919998,64.25,64.75,20501900,64.75
2017-03-14,64.529999,64.550003,64.150002,64.410004,14263700,64.410004
2017-03-13,65.010002,65.190002,64.57,64.709999,19551800,64.709999
2017-03-10,65.110001,65.260002,64.75,64.93,19528300,64.93
2017-03-09,65.190002,65.199997,64.480003,64.730003,19772700,64.730003
2017-03-08,64.260002,65.080002,64.25,64.989998,20961700,64.989998
2017-03-07,64.190002,64.779999,64.190002,64.400002,18300700,64.400002
2017-03-06,63.970001,64.559998,63.810001,64.269997,17487700,64.269997
2017-03-03,63.990002,64.279999,63.619999,64.25,18135900,64.25
2017-03-02,64.690002,64.75,63.880001,64.010002,24510900,64.010002
